n_waypoints,n_aerial,n_ground,aerial_speed,ground_speed,aerial_max_time,ground_max_time,aerial_inspection_time,ground_inspection_time,solve_time,status,objective_value,aerial_used,ground_used,aerial_avg_distance,ground_avg_distance,aerial_avg_time,ground_avg_time
15,2,2,5.0,3.0,30.0,60.0,1.0,3.0,0.1822984218597412,optimal,2.0,2,1,128.70263978326057,86.30553166729939,26.740527956652112,34.76851055576647
15,2,2,5.0,3.0,30.0,60.0,1.0,3.0,0.18207502365112305,optimal,2.0,2,2,92.94509728975768,124.83972458628762,19.589019457951537,44.61324152876254
15,2,2,5.0,3.0,30.0,60.0,1.0,3.0,0.1386423110961914,optimal,2.0,2,2,112.5686512022701,139.97829834217023,24.013730240454024,49.65943278072341
15,2,2,5.0,2.0,20.0,60.0,1.0,3.0,0.03408026695251465,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,20.0,60.0,1.0,3.0,0.038193464279174805,optimal,0.0,1,0,63.84118924368803,0.0,13.768237848737606,0.0
15,2,2,5.0,2.0,20.0,60.0,1.0,3.0,0.04491019248962402,optimal,1.0,1,1,94.9211113059685,109.70212004533028,19.9842222611937,57.85106002266514
15,2,2,5.0,2.0,25.0,60.0,1.0,3.0,0.04008030891418457,optimal,0.0,2,0,92.82473585863829,0.0,19.56494717172766,0.0
15,2,2,5.0,2.0,25.0,60.0,1.0,3.0,0.0425410270690918,optimal,0.0,1,0,72.45208360926027,0.0,15.490416721852053,0.0
15,2,2,5.0,2.0,25.0,60.0,1.0,3.0,0.044408321380615234,optimal,0.0,1,0,86.72198127515647,0.0,18.344396255031292,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.047589778900146484,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.038498878479003906,optimal,0.0,1,0,58.835868371141,0.0,12.7671736742282,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.06202840805053711,optimal,2.0,2,2,113.32892007813817,99.05046558434425,24.165784015627636,52.525232792172126
15,2,2,5.0,2.0,35.0,60.0,1.0,3.0,0.19881081581115723,optimal,2.0,2,1,158.20743305767934,79.77377317206586,32.64148661153587,45.88688658603293
15,2,2,5.0,2.0,35.0,60.0,1.0,3.0,0.05690431594848633,optimal,2.0,2,2,159.6548653742251,55.000571203079886,32.930973074845014,30.500285601539943
15,2,2,5.0,2.0,35.0,60.0,1.0,3.0,0.0749809741973877,optimal,2.0,2,2,157.04038701001778,55.040718840574485,32.408077402003556,30.520359420287242
15,2,2,5.0,2.0,40.0,60.0,1.0,3.0,0.06486153602600098,optimal,2.0,2,2,109.49359124609097,96.81886900020186,22.898718249218195,51.40943450010093
15,2,2,5.0,2.0,40.0,60.0,1.0,3.0,0.07430768013000488,optimal,2.0,2,2,155.28484805798055,83.40836500106687,32.55696961159611,44.704182500533435
15,2,2,5.0,2.0,40.0,60.0,1.0,3.0,0.07878398895263672,optimal,2.0,2,2,158.76104720773952,97.08961068040114,32.752209441547905,51.54480534020057
15,2,2,5.0,2.0,30.0,40.0,1.0,3.0,0.03658342361450195,optimal,0.0,1,0,100.54803959849168,0.0,21.109607919698337,0.0
15,2,2,5.0,2.0,30.0,40.0,1.0,3.0,0.03900957107543945,optimal,0.0,2,0,73.46931944916643,0.0,15.693863889833288,0.0
15,2,2,5.0,2.0,30.0,40.0,1.0,3.0,0.04406309127807617,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,30.0,50.0,1.0,3.0,0.035964250564575195,optimal,0.0,2,0,103.19742003657225,0.0,21.63948400731445,0.0
15,2,2,5.0,2.0,30.0,50.0,1.0,3.0,0.0425262451171875,optimal,1.0,1,1,116.97365734357652,83.17829161960385,24.394731468715303,44.58914580980193
15,2,2,5.0,2.0,30.0,50.0,1.0,3.0,0.05148196220397949,optimal,1.0,2,1,102.63861962724793,88.51897372504381,21.527723925449585,47.259486862521904
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.07946634292602539,optimal,2.0,2,2,113.35340623782623,94.10705078843415,23.67068124756525,50.053525394217075
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04339241981506348,optimal,0.0,1,0,72.25322700542088,0.0,15.450645401084177,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.10123753547668457,optimal,2.0,2,2,139.34508598284657,70.88132944922364,28.86901719656931,38.44066472461182
15,2,2,5.0,2.0,30.0,70.0,1.0,3.0,0.09801673889160156,optimal,2.0,2,2,127.64459154664092,85.77040644927857,26.528918309328184,45.885203224639284
15,2,2,5.0,2.0,30.0,70.0,1.0,3.0,0.03708362579345703,optimal,0.0,1,0,56.56926743410716,0.0,12.313853486821433,0.0
15,2,2,5.0,2.0,30.0,70.0,1.0,3.0,0.06483173370361328,optimal,2.0,2,2,127.5313642460612,124.57669923174858,26.50627284921224,65.2883496158743
15,2,2,5.0,2.0,30.0,80.0,1.0,3.0,0.059195756912231445,optimal,2.0,2,2,103.14969069215859,117.5204613946598,21.62993813843172,61.7602306973299
15,2,2,5.0,2.0,30.0,80.0,1.0,3.0,0.19320225715637207,optimal,2.0,2,2,80.0451089547175,127.54094750854003,17.0090217909435,66.77047375427001
15,2,2,5.0,2.0,30.0,80.0,1.0,3.0,0.11232519149780273,optimal,2.0,2,2,120.13038179689352,129.04206889131595,25.026076359378706,67.52103444565797
15,2,2,5.0,2.0,30.0,60.0,0.5,3.0,0.05495762825012207,optimal,2.0,2,2,126.60977345744641,81.18927784127807,26.07195469148928,43.594638920639035
15,2,2,5.0,2.0,30.0,60.0,0.5,3.0,0.05601835250854492,optimal,1.0,2,1,90.42368791642664,81.21445790300429,18.58473758328533,43.607228951502144
15,2,2,5.0,2.0,30.0,60.0,0.5,3.0,0.057282447814941406,optimal,2.0,2,2,128.5648423776351,85.87996042234136,26.21296847552702,45.93998021117068
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.09403085708618164,optimal,2.0,2,2,113.06149988056146,102.08485608293088,23.612299976112293,54.04242804146544
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.042960166931152344,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.09014725685119629,optimal,2.0,2,2,126.23759629275366,85.8781590960378,26.24751925855073,45.9390795480189
15,2,2,5.0,2.0,30.0,60.0,1.5,3.0,0.04413795471191406,optimal,0.0,1,0,70.22001307795577,0.0,15.544002615591154,0.0
15,2,2,5.0,2.0,30.0,60.0,1.5,3.0,0.05290961265563965,optimal,1.0,2,1,111.42710514573011,98.81593319250696,23.785421029146022,52.40796659625348
15,2,2,5.0,2.0,30.0,60.0,1.5,3.0,0.04243326187133789,optimal,0.0,1,0,122.76758580314879,0.0,26.05351716062976,0.0
15,2,2,5.0,2.0,30.0,60.0,2.0,3.0,0.09873366355895996,optimal,2.0,2,2,105.92753902502696,106.67628312570903,23.18550780500539,56.33814156285452
15,2,2,5.0,2.0,30.0,60.0,2.0,3.0,0.05476737022399902,optimal,1.0,1,1,131.11914656719145,75.60643196289875,28.22382931343829,40.80321598144938
15,2,2,5.0,2.0,30.0,60.0,2.0,3.0,0.05057811737060547,optimal,1.0,2,1,131.6862342690705,60.818426612370814,28.3372468538141,33.40921330618541
15,2,2,5.0,2.0,30.0,60.0,2.5,3.0,0.04783058166503906,optimal,0.0,1,0,17.461527170510962,0.0,5.992305434102192,0.0
15,2,2,5.0,2.0,30.0,60.0,2.5,3.0,0.044052839279174805,optimal,1.0,2,1,113.94663646434297,112.31151973505091,25.289327292868595,59.155759867525454
15,2,2,5.0,2.0,30.0,60.0,2.5,3.0,0.0419926643371582,optimal,0.0,2,0,67.4050148759537,0.0,15.981002975190739,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,1.0,0.06733942031860352,optimal,2.0,2,2,115.52504429003386,87.34663202776728,24.10500885800677,44.67331601388364
15,2,2,5.0,2.0,30.0,60.0,1.0,1.0,0.05478239059448242,optimal,1.0,1,1,141.18772458727133,114.48399870325017,29.237544917454265,58.24199935162508
15,2,2,5.0,2.0,30.0,60.0,1.0,1.0,0.05126595497131348,optimal,0.0,1,0,129.9868766848625,0.0,26.9973753369725,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,2.0,0.04495811462402344,optimal,0.0,2,0,121.96701145751521,0.0,25.393402291503044,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,2.0,0.046364545822143555,optimal,1.0,1,1,135.8476926701997,64.45537738885866,28.16953853403994,34.22768869442933
15,2,2,5.0,2.0,30.0,60.0,1.0,2.0,0.08259224891662598,optimal,2.0,2,2,128.43062196865822,89.96586386096715,26.686124393731642,46.98293193048357
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.03716778755187988,optimal,0.0,0,0,0.0,0.0,0.0,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04745650291442871,optimal,1.0,2,1,127.90429141765625,108.23511158467686,26.58085828353125,57.11755579233843
15,2,2,5.0,2.0,30.0,60.0,1.0,3.0,0.04681682586669922,optimal,1.0,1,1,132.6076781958005,89.4650312722352,27.5215356391601,47.7325156361176
15,2,2,5.0,2.0,30.0,60.0,1.0,4.0,0.037878990173339844,optimal,0.0,1,0,108.99191587804658,0.0,22.798383175609317,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,4.0,0.05708050727844238,optimal,2.0,2,2,123.1651258992944,106.59188767091092,25.633025179858876,57.29594383545546
15,2,2,5.0,2.0,30.0,60.0,1.0,4.0,0.05037069320678711,optimal,1.0,2,1,114.6758989994056,93.47884566577079,24.43517979988112,50.739422832885396
15,2,2,5.0,2.0,30.0,60.0,1.0,5.0,0.04943108558654785,optimal,1.0,2,1,101.10598291153141,102.83032303731147,22.22119658230628,56.41516151865574
15,2,2,5.0,2.0,30.0,60.0,1.0,5.0,0.06628155708312988,optimal,0.0,1,0,65.62631671876959,0.0,14.125263343753918,0.0
15,2,2,5.0,2.0,30.0,60.0,1.0,5.0,0.07404780387878418,optimal,1.0,1,1,127.41083575730283,75.926861851555,26.482167151460565,42.9634309257775
